cran_package,name_length,word_count,name_freq_score,num_conflicts,conflict_type,is_same_owner,title_similarity_score,official_url,scraped_at_utc,conflict_url,stars,language,topics,created_at,pushed_at,forks_count,open_issues_count,description
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:57.224413+00:00,https://github.com/div2894/ggplot2,0,,,2017-11-03T18:41:30Z,2017-11-15T06:48:02Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:58.076742+00:00,https://github.com/Knigt9z/ggplot2,0,R,,2023-10-28T16:49:20Z,2023-10-29T07:50:03Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:58.907508+00:00,https://github.com/CheFuller/ggplot2,0,R,,2020-09-20T16:26:19Z,2020-09-20T17:52:35Z,0,0,This is a practice run to familiarize myself with ggplot2 member of tidyverse library
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:59.737174+00:00,https://github.com/danins89/ggplot2,0,,,2022-03-01T18:01:53Z,2022-03-01T18:53:34Z,0,0,"Grunnleggende ggplot2-kode, samt guider for R sine innebygde datasett."
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:00.566376+00:00,https://github.com/allanmxrin/ggplot2,0,,,2023-05-10T20:14:19Z,2023-05-10T20:25:42Z,0,0,Graficos en ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:01.452664+00:00,https://github.com/aj9253/ggplot2,0,,,2017-09-04T10:33:10Z,2017-09-04T10:33:10Z,0,0,
ggplot2,7,1,-20.72326583694641,200,clone_or_imitation,False,1.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:02.302015+00:00,https://github.com/dhrubkthakur/ggplot2,0,R,,2018-01-11T09:05:45Z,2018-01-11T09:16:27Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:03.141249+00:00,https://github.com/KaneSec/ggplot2,0,HTML,,2020-11-11T05:17:40Z,2020-11-11T05:35:16Z,0,0,Visualisation in R
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:03.982407+00:00,https://github.com/AneesParwez/ggplot2,0,,,2021-04-06T18:09:14Z,2021-04-06T18:14:30Z,0,0,Learning the Grammer of Graphics
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:04.826326+00:00,https://github.com/alauddin-sabari/ggplot2,0,HTML,,2021-08-24T03:36:37Z,2021-08-24T03:38:36Z,0,0,
