cran_package,name_length,word_count,name_freq_score,num_conflicts,conflict_type,is_same_owner,title_similarity_score,official_url,scraped_at_utc,conflict_url,stars,language,topics,created_at,pushed_at,forks_count,open_issues_count,description
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:54.826493+00:00,https://github.com/jbtaylor1202/ggplot2,0,R,,2016-06-15T21:44:52Z,2016-06-15T21:45:01Z,0,0,ggplot2 Book
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:55.653722+00:00,https://github.com/mustang115/ggplot2,0,R,,2017-06-26T18:35:07Z,2017-07-15T00:41:43Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:59.044121+00:00,https://github.com/Allan-Robert/ggplot2,0,R,,2019-11-17T16:52:42Z,2019-11-17T19:12:07Z,0,0,Comandos Iniciais e algumas extensões
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:00.658124+00:00,https://github.com/PaulowniaLee/ggplot2,0,R,,2024-09-30T03:32:02Z,2024-09-30T04:23:15Z,0,0,R scripts on visualisation
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:02.362930+00:00,https://github.com/Marc-xyz/ggplot2,0,R,,2021-02-06T05:40:12Z,2021-02-06T06:31:33Z,0,0,"Hey hey hey everybody I am coming from New York City, New York and let me tell you guys that I am so excited, I am so happy, I am really so thrilled to be right now sharing this amazing, glorious, super, and exciting moment of my life with all of you guys, and let me tell you that we are really changing the world as we know it, the world is not anymore the way it used to be, mmm mmm, No! No! No! GGPLOOOT!"
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:03.178624+00:00,https://github.com/mkayanda/ggplot2,0,R,,2020-05-12T21:41:13Z,2020-08-10T03:56:47Z,0,0,GGPLOT2 - Titanic dataset
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:09.075044+00:00,https://github.com/junwenleong/ggplot2,0,R,,2020-01-03T10:24:48Z,2021-07-09T06:35:42Z,0,0,{non-LaTeX} EDA with tidyverse and ggplot2 in R
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:14.918938+00:00,https://github.com/ijabine/Ggplot2,0,R,,2019-10-27T09:39:21Z,2019-11-21T10:48:52Z,0,0,GGplot Cheat Sheets
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:15.755155+00:00,https://github.com/Adeelmunir158/ggplot2,0,R,,2022-07-26T06:53:24Z,2022-07-26T07:32:12Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:17.472017+00:00,https://github.com/xiaeryu/ggPlot2,0,R,,2015-07-08T06:53:08Z,2015-07-31T09:31:43Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:20.794217+00:00,https://github.com/AlexandreStos/ggplot2,0,R,,2022-01-13T23:11:59Z,2022-02-14T16:09:20Z,0,0,Scripts para a realização de gráficos com o ggplot2 
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.6481481481481481,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:24.173677+00:00,https://github.com/bseitz234/ggplot2,0,R,,2015-09-24T17:44:12Z,2015-09-24T17:52:01Z,1,0,Fork of hadley's ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:25:27.553374+00:00,https://github.com/isabelacp21/ggplot2,0,R,,2022-04-29T18:13:50Z,2022-04-29T18:17:20Z,0,0,scripts do pacote ggplot2 do R que estou aprendendo 
